hit_id,x,y,z,volume_id,layer_id,module_id
16903,-29.9706,-9.53867,-406.50800000000004,8,2,17
16943,-29.0782,-13.5912,-325.205,8,2,33
17140,-32.6979,-1.73813,-262.897,8,2,49
17327,27.6907,-14.9591,-249.43599999999998,8,2,55
17604,-34.0038,0.496855,-175.799,8,2,65
17888,30.6444,9.11163,-164.52700000000002,8,2,73
17901,30.4458,9.67965,-185.21200000000002,8,2,73
17940,21.79,23.5428,-153.745,8,2,74
18159,-31.7999,3.2854300000000003,-162.79,8,2,80
18232,-33.816,1.45967,-73.7515,8,2,81
18236,-30.9607,-6.70677,-111.354,8,2,81
18679,31.1227,-6.49881,-80.374,8,2,88
18840,20.1437,25.1924,-121.275,8,2,91
18858,20.8777,24.8387,-75.6514,8,2,91
18968,-5.70169,31.3121,-94.3742,8,2,93
19211,-30.4982,-9.5296,-37.3424,8,2,97
19309,-31.8369,-5.70081,-47.7818,8,2,97
19329,-24.7826,-20.1924,-42.5334,8,2,98
19341,-24.3615,-20.6638,-51.1408,8,2,98
19600,-17.1827,-27.1688,-35.2114,8,2,99
19730,3.7089999999999996,-32.5333,-17.9369,8,2,101
19872,18.5946,-26.2098,-9.82843,8,2,102
20021,28.5922,-14.2289,-12.195,8,2,103
20398,26.4396,18.3373,-1.33438,8,2,106
20518,23.2555,21.9021,-8.25313,8,2,106
20572,20.4584,25.5903,-1.54413,8,2,107
20617,13.2606,29.0588,-33.118,8,2,107
20630,19.7853,25.9147,-14.687999999999999,8,2,107
21248,-28.3169,14.8001,-52.0422,8,2,111
21492,-30.0689,-9.257480000000001,2.0093799999999997,8,2,113
22048,5.02234,-31.5496,34.9968,8,2,117
22156,20.1717,-24.1373,60.2211,8,2,118
22204,29.2396,-11.7449,7.80312,8,2,119
22240,25.2782,-19.9656,37.7844,8,2,119
22300,26.5018,-17.4264,10.9711,8,2,119
22391,31.2651,-3.9744300000000004,46.7324,8,2,120
22526,31.1155,6.2639,31.0169,8,2,121
22583,26.8555,17.1284,17.3207,8,2,122
22658,28.1713,15.6553,52.3593,8,2,122
22785,15.5707,27.396,18.7584,8,2,123
23053,-9.16108,30.1026,65.0089,8,2,125
23102,-6.6653,30.9752,35.3979,8,2,125
23206,-19.7282,24.5334,58.4648,8,2,126
23365,-27.3126,15.7438,53.5725,8,2,127
23372,-29.0524,12.1333,2.7406200000000003,8,2,127
23488,-31.209,4.97006,51.6086,8,2,128
23496,-31.2259,4.6695199999999994,17.5925,8,2,128
23527,-31.2948,3.44866,59.5597,8,2,128
23626,-23.9883,-21.0817,111.603,8,2,130
23677,-14.6588,-28.385,122.551,8,2,131
23927,30.1111,-11.0768,74.2537,8,2,135
24246,4.24679,31.7457,73.3687,8,2,140
24592,-21.6088,-23.0025,157.55,8,2,146
24665,-9.83301,-30.9347,178.993,8,2,148
24954,5.28956,31.191,146.264,8,2,156
25026,-14.5011,29.2022,142.648,8,2,158
25106,-31.4119,1.3726200000000002,209.229,8,2,160
25112,-32.1874,-4.69837,227.158,8,2,161
25114,-31.2301,-7.43648,246.657,8,2,161
25227,4.56196,-32.2351,272.212,8,2,165
25466,-30.3499,10.5814,276.847,8,2,175
25776,-66.7786,-26.0587,-431.07800000000003,8,4,2
25877,69.8734,19.3905,-434.806,8,4,18
25901,59.0902,42.855,-475.814,8,4,20
25961,-53.0465,50.4362,-455.279,8,4,29
26138,68.3835,21.4247,-362.412,8,4,50
26164,51.5565,51.7841,-350.70599999999996,8,4,53
26276,-71.3149,4.89152,-351.288,8,4,64
26277,-71.128,0.425762,-365.514,8,4,64
26621,-65.7165,-27.1711,-253.952,8,4,98
26885,46.5699,54.8224,-264.115,8,4,117
27311,69.9609,-15.696,-179.106,8,4,143
27313,70.3769,-13.0258,-176.94799999999998,8,4,143
27418,47.5356,54.8138,-183.361,8,4,149
27498,-14.7923,70.0301,-199.635,8,4,153
27638,-71.7755,4.055540000000001,-158.42700000000002,8,4,160
27650,-70.399,-11.1745,-93.1351,8,4,161
27662,-67.634,-23.0397,-86.2236,8,4,162
27733,-57.545,-43.6034,-115.588,8,4,164
27735,-53.456,-47.3639,-99.965,8,4,164
27756,-41.1589,-58.1193,-86.8182,8,4,165
28176,29.1032,65.0053,-69.5996,8,4,182
28356,-62.4378,36.1179,-105.645,8,4,190
28453,-70.2259,-18.631,-0.6031270000000001,8,4,194
28712,7.199610000000001,-71.8735,-33.2662,8,4,201
28797,43.4381,-58.4562,-36.165,8,4,204
28864,64.3762,-32.2624,-27.3859,8,4,206
29081,52.9592,48.4935,-12.0098,8,4,212
29120,56.7879,44.9723,-6.40373,8,4,212
29158,45.7362,55.9102,-34.5026,8,4,213
